pid,age
18941,21
19050,
19074,25
19107,23
19257,28
19372,19
19373,
19493,
19535,22
19678,
19784,22
19842,30
20012,22
20050,
20051,26
20082,
20112,23
20126,20
20150,17
20473,
20566,
20718,
20720,26
21125,
21201,23
21355,20
21357,
21417,20
21422,21
21426,21
21436,
21440,18
21447,21
21536,21
21538,19
21542,17
21546,21
21547,21
21550,21
21551,21
21554,17
21556,22
21572,20
21578,22
21630,24
21751,
22059,19
22080,24
22528,20
22570,
22571,21
22572,28
22603,18
22608,23
22618,
22649,21
22737,25
22847,
22853,18
22940,21
23156,20
23176,22
23371,21
23606,21
23827,23
23900,20
24052,
24069,23
24194,19
24248,
24386,23
24424,
24474,19
24675,26
24695,24
25005,23
25214,
25262,29
25364,21
25442,19
25514,23
25639,26
25662,20
25710,17
25734,21
25787,
26134,20
26214,26
26228,23
26233,22
26261,21
26482,18
26714,
26812,22
26834,17
26872,
26931,18
26950,
26976,24
27091,
27211,
27364,
27561,
27619,
27951,20
27984,20
28018,23
28037,19
28068,15
28102,24
28299,
28300,20
28309,23
28421,
28453,22
28473,
28501,
28552,18
28583,
28588,25
28703,20
28716,23
28761,22
28762,23
28772,27
28790,21
28799,19
28845,26
28846,
28852,28
28855,24
28861,
28864,26
28865,23
28921,21
28958,22
28960,23
29091,
29219,17
29254,20
29562,20
29570,18
29599,19
29877,18
29878,19
29949,
30025,21
30074,27
30134,22
30135,20
30155,22
30156,22
30170,18
30214,21
30249,22
30513,24
30656,19
30735,18
30777,18
30817,
31023,24
31108,
31110,20
31114,21
31117,
31118,19
31187,18
31188,
31193,22
31199,20
31200,21
31204,20
31206,20
31208,20
31302,19
31349,20
31351,21
31355,19
31359,21
31361,
31362,21
31363,
31365,21
31380,
31383,21
31384,
31387,
31388,21
31399,17
31438,19
31442,
31450,23
31451,21
31455,22
31483,
31666,
31740,21
31751,23
31782,
32027,23
32238,20
32294,23
32306,17
32341,25
32344,22
32348,26
32351,22
32394,
32405,
32483,22
32487,
32552,26
32629,23
32672,24
32678,
32754,24
32788,17
32807,21
32822,23
32866,
32891,18
32976,22
33014,23
33038,20
33158,22
33226,21
33293,22
33307,19
33309,21
33310,19
33311,21
33312,19
33322,
33343,25
33376,21
33395,18
33434,26
33501,24
33622,17
33752,24
33755,
33761,23
33829,20
33877,17
33926,23
34053,
34067,17
34271,20
34474,
34627,25
34707,21
34764,17
34921,
34922,28
35000,25
35004,24
35148,
35195,23
35269,22
35305,29
35386,25
35424,20
35534,26
35684,
35729,19
35954,21
36013,18
36197,
36249,20
36258,18
36309,23
36576,
36580,18
36931,21
36934,28
36991,21
37119,19
37160,
37176,24
37312,21
37343,20
37413,25
37430,
37474,
37626,
37831,17
38040,
38047,20
38101,19
38220,20
38321,27
38386,18
38424,
38525,18
38558,23
38712,18
38771,23
38804,23
38847,19
38949,20
39140,26
39187,
39189,19
39265,23
39267,21
39407,28
39459,24
39470,
39546,
39566,22
39629,19
39682,
39686,18
39714,19
40026,
40044,21
40049,24
40083,21
40142,18
40229,
40250,22
40336,19
40427,23
40496,
40807,
40881,22
40884,19
41283,22
41370,23
41442,31
41455,26
41592,18
41626,27
41636,20
41684,21
41767,
41895,27
41960,
41968,22
41982,21
42026,19
42035,21
42051,
42055,24
42070,
42079,22
42080,
42084,22
42148,18
42153,
42155,23
42170,20
42190,25
42302,20
42405,24
42517,17
42617,19
42692,24
42708,25
42799,
42831,21
42899,21
42944,20
42973,21
43031,20
43065,
43073,
43094,21
43137,24
43369,18
43378,23
43391,25
43400,18
43519,22
43522,20
43559,22
43572,
43581,23
43634,
43635,22
43638,20
43639,19
43640,19
43641,19
43643,
43645,
43647,20
43651,
43653,
43657,20
43711,19
43720,22
43723,
43725,
43740,18
43760,
43762,19
43767,23
43823,20
43835,
43841,20
43883,20
43885,19
43987,22
44039,22
44044,21
44053,19
44121,
44177,21
44181,
44204,23
44249,20
44261,21
44283,25
44303,
44334,22
44377,21
44490,19
44566,
44625,19
44649,18
44735,
44762,
44871,24
44881,29
44925,23
44932,20
44939,30
45174,
45220,24
45281,17
45394,
45483,20
45552,26
45585,
45645,26
45696,18
45726,21
45763,24
45822,
45910,25
45940,
46007,24
46010,22
46046,
46146,19
46164,28
46170,22
46171,
46242,25
46247,24
46249,21
46309,21
46325,22
46326,
46337,22
46363,
46391,26
46406,20
46407,21
46425,23
46567,36
46610,22
46666,21
46716,
46864,25
46867,25
46956,
47101,24
47124,19
47128,22
47448,19
47488,24
47496,22
47499,
47547,
47674,
47679,22
47702,19
47722,22
47735,
47761,20
47780,
47782,21
47784,21
47789,20
47823,20
47828,18
47844,21
47859,21
47863,12
48099,22
48104,18
48304,24
48325,
48346,23
48419,20
48526,21
48530,21
48603,28
48661,20
48674,19
48682,
48707,23
48709,22
48734,17
48762,20
48782,
48789,21
48825,
48985,16
49002,31
49118,
49142,29
49223,22
49302,23
49323,20
49325,19
49401,
49594,23
49693,20
49713,24
49715,19
49720,21
49759,17
49868,
49883,21
49958,18
49983,
50014,28
50045,21
50065,18
50441,23
50849,22
50882,20
50915,19
51204,26
51280,29
51356,4
51474,23
51509,24
51545,
51566,
51628,
51720,24
51762,
51770,22
51823,25
51845,19
51903,20
52005,23
52040,23
52060,21
52083,16
52145,
52147,26
52159,20
52192,25
52224,25
52229,28
52409,21
52705,
52829,22
52899,22
52976,24
52981,18
52982,18
52998,
53099,
53103,19
53111,16
53113,21
53185,23
53192,
53193,23
53248,21
53336,26
53367,19
53369,19
53372,
53421,
53426,
53497,23
53751,21
53779,20
53885,19
53998,23
54024,26
54070,17
54071,18
54080,20
54121,19
54123,22
54125,19
54137,18
54148,
54244,
54358,18
54517,35
54521,
54535,17
54607,11
54609,18
54633,27
54646,22
54648,31
54752,
54794,21
54861,23
54871,26
54907,
54918,
55006,16
55062,23
55159,23
55219,20
55221,23
55419,20
55442,21
55626,
55685,25
55738,19
55749,20
55807,22
55821,27
55822,
55823,17
55824,
55827,18
55846,27
55885,19
55888,21
55890,18
55892,21
55910,18
55914,28
56013,17
56019,
56056,
56061,20
56072,26
56074,
56082,20
56086,18
56142,
56209,22
56211,
56215,20
56217,20
56225,17
56228,19
56279,
56295,21
56296,24
56298,21
56300,21
56303,
56304,20
56307,20
56308,23
56309,
56311,
56312,
56356,21
56425,18
56433,20
56437,
56439,22
56443,
56449,20
56453,21
56575,22
56578,19
56582,21
56583,
56592,21
56595,
56597,20
56604,
56608,22
56666,18
56670,19
56676,20
56683,21
56687,20
56735,20
56762,20
56764,20
56767,21
56769,19
56770,20
56773,21
56774,20
56813,26
56818,21
56888,
56893,19
56898,22
56903,20
56945,22
56959,23
56961,23
56963,
56967,
56968,22
56971,20
56979,35
56982,19
57016,
57036,
57038,20
57046,24
57183,19
57258,18
57299,
57380,18
57589,26
57733,23
57737,25
57752,25
57784,24
57807,22
57809,21
57815,
57836,20
57871,25
57877,21
57878,
57918,27
57966,21
57975,20
57982,18
57986,19
58063,21
58069,
58096,22
58100,21
58102,22
58117,29
58128,25
58135,22
58159,24
58160,19
58240,19
58274,21
58281,
58287,27
58299,17
58324,28
58419,26
58424,26
58491,
58530,18
58538,18
58843,24
58854,23
58870,
59033,23
59085,16
59109,20
59114,
59119,22
59130,18
59333,22
59415,22
59437,17
59442,17
59575,23
59583,19
59693,21
59720,21
59735,21
59771,23
59872,23
59916,33
59970,
59974,19
59995,32
60222,
60324,23
60357,30
60486,23
60490,21
60504,19
60533,24
60537,25
60616,21
60648,
60711,24
60715,21
60722,19
60752,19
60945,23
61001,24
61008,24
61022,20
61025,
61134,23
61150,25
61158,36
61189,
61342,21
61349,16
61389,21
61394,22
61408,20
61411,21
61427,
61441,21
61485,23
61491,23
61504,18
61550,
61580,
61598,23
61663,
61688,23
61689,26
62065,19
62172,23
62186,30
62297,21
62314,
62337,
62357,41
62359,24
62438,22
62466,33
62586,22
62623,20
62671,2
62847,
62885,18
62987,
63142,25
63159,21
63180,21
63297,23
63298,
63300,112
63529,24
63536,24
63560,24
63794,
63957,
63962,21
64032,22
64139,20
64197,20
64224,24
64372,21
64439,20
64550,28
64554,21
64582,21
64683,21
64750,21
64957,24
65084,18
65091,19
65137,
65155,21
65179,15
65319,
65438,21
65877,24
65902,
65924,26
66087,11
66106,
66223,24
66328,22
66454,21
66521,19
66671,20
66772,40
66854,21
66895,18
66906,23
66944,
66966,21
67058,21
67132,24
67159,22
67439,
67521,28
67586,23
67834,15
67857,27
68019,25
68055,
68117,43
68138,27
68191,19
68327,
68360,
68369,
68510,
68552,
68587,22
68652,
68688,21
68718,24
68727,20
68930,26
68931,22
68971,23
68972,28
68976,29
68979,
69047,
69084,21
69101,21
69135,19
69152,17
69163,26
69182,20
69260,25
69352,21
69389,
69431,22
69461,20
69488,
69836,25
69876,
69895,25
69909,25
69917,20
70017,
70098,21
70134,
70150,19
70161,26
70173,21
70174,21
70266,
70393,22
70410,22
70580,25
70701,26
70762,24
70837,11
70853,23
70854,23
70914,20
70915,27
70941,28
70965,21
70989,21
71019,29
71060,20
71117,18
71189,
71463,
71786,25
71857,19
71892,25
71949,27
71962,23
71986,22
72000,24
72063,
72070,22
72071,
72325,23
72495,
72594,19
72693,20
72809,22
72898,20
72972,19
72982,18
73108,
73137,21
73148,21
73162,26
73234,18
73353,22
73477,
73565,21
73577,24
73653,24
73686,22
73698,23
73728,20
73743,24
73784,21
73805,21
73865,18
73888,
73910,19
73988,22
73998,22
74120,
74239,
74288,20
74295,21
74357,26
74424,20
74426,20
74522,24
74554,23
74563,20
74663,18
74718,16
74797,18
74798,24
74799,
74871,18
74914,
74945,26
74953,19
74980,21
74989,
75027,24
75058,22
75272,19
75382,20
75419,
75422,
75461,32
75496,17
75561,22
75746,23
75748,19
75878,
75923,28
76358,
76545,21
76691,20
76758,20
76760,19
76763,24
76818,23
76822,
76826,
76888,22
76894,19
76928,
77022,20
77042,21
77154,23
77224,20
77329,22
77333,23
77550,22
77616,
77665,20
77677,
77701,21
77738,27
77884,20
77983,30
78040,21
78071,20
78257,23
78286,20
78372,
78414,20
78454,19
78465,19
78563,19
78575,20
78663,20
78826,26
78849,20
78887,23
78994,
79023,
79030,29
79036,27
79089,23
79146,21
79179,23
79310,23
79332,
79347,20
79405,18
79430,19
79459,21
79643,20
79647,18
79718,19
79792,22
79828,26
79898,22
79936,22
79950,24
79958,28
79986,22
80001,16
80010,19
80016,20
80075,22
80138,20
80139,
80173,20
80196,20
80202,21
80260,
80304,23
80327,23
80331,25
80351,22
80364,
80392,
80432,19
80438,22
80449,18
80515,21
80524,22
80530,23
80531,
80536,21
80591,19
80598,21
80652,
80749,20
80752,
80841,
80856,18
80866,20
80943,24
80960,18
81029,
81071,18
81141,19
81146,
81154,
81205,
81230,
81241,17
81255,
81266,12
81424,25
81501,18
81514,28
81604,26
81620,17
81625,17
81643,
81671,
81680,19
81721,23
81774,20
81809,
81812,22
81815,
81816,20
81821,22
81823,23
81882,22
81888,20
81894,23
81912,21
81929,25
81959,21
82019,23
82020,20
82021,22
82024,22
82027,22
82124,23
82128,21
82141,23
82142,22
82207,
82239,21
82520,20
82563,21
82564,19
82574,18
82588,27
82666,20
82679,22
82717,25
82721,24
82766,27
82769,28
82830,
82842,25
82870,25
82902,24
83106,24
83290,
83390,
83431,27
83432,19
83433,22
83560,20
83658,
83794,25
83851,25
83870,25
84084,18
84090,17
84133,
84141,17
84216,
84224,
84242,21
84291,20
84307,24
84318,23
84371,24
84384,32
84387,
84391,22
84433,17
84451,
84476,21
84520,23
84697,
84698,21
84756,21
84757,18
85101,19
85202,26
85203,24
85208,24
85209,27
85215,20
85249,
85265,18
85528,22
85588,
85785,27
85835,20
85869,
85921,25
85968,22
86009,
86134,17
86154,
86491,21
86622,24
86628,20
86631,
86659,26
86667,25
86715,24
86724,21
86844,21
86866,18
86905,24
86914,
86981,22
86987,20
87053,20
87108,22
87188,22
87191,30
87193,26
87195,22
87218,
87257,
87263,24
87264,25
87283,24
87291,23
87294,28
87323,21
87425,29
87504,18
87521,19
87641,
87647,21
87650,23
87652,
87675,24
87698,24
87805,
87881,27
87897,21
87899,24
87973,15
87982,19
88076,22
88084,24
88170,22
88171,21
88256,28
88359,21
88458,27
88459,24
88513,
88515,19
88520,
88534,22
88538,33
88548,29
88551,34
88700,
88716,
88722,26
88723,37
88726,28
88729,
88805,23
88830,17
89126,18
89214,
89276,22
89377,23
89379,23
89381,24
89382,24
89428,22
89445,25
89451,
89452,
89462,21
89489,22
89510,18
89567,22
89641,
89683,23
89685,
89755,
89810,
89814,23
89822,22
89858,20
89864,21
89867,22
89868,23
89870,18
89940,24
89946,21
89948,21
90130,20
90193,21
90363,
90456,23
90464,23
90487,21
90522,25
90624,
90633,21
90659,17
90696,24
90730,22
90774,24
90780,18
90994,
91137,20
91307,20
91452,
91654,15
91742,
91835,17
92013,26
92107,19
92129,25
92151,
92157,
92273,
92538,18
92648,20
92675,19
92686,24
92715,25
92718,22
92785,24
92884,23
92910,
92948,18
92984,19
92985,
93004,22
93005,23
93070,
93104,21
93182,18
93217,
93396,24
93441,24
93449,
93487,
93578,23
93584,21
93608,21
93835,
94067,
94108,
94215,
94414,23
94421,19
94462,19
94502,21
94558,24
94583,
94635,26
94746,21
94749,22
94753,19
94807,
94844,
94936,
94968,26
95010,18
95056,19
95132,
95137,
95141,21
95158,23
95177,
95204,24
95239,18
95332,15
95423,16
95501,17
95502,
95567,19
95711,
95791,20
95938,18
95980,
96033,18
96034,
96079,16
96132,20
96221,21
96252,20
96276,21
96351,
96358,
96424,27
96471,20
96474,23
96478,21
96480,24
96539,
96569,24
96615,
96616,18
96617,
96623,17
96626,16
96655,
96656,31
96670,25
96717,28
96733,22
96741,16
96742,17
96761,
96784,25
96790,20
96839,23
96841,
96882,19
96887,25
97050,
97052,18
97053,17
97054,
97059,18
97066,
97071,24
97136,20
97156,19
97181,25
97287,23
97295,
97396,20
97457,19
97561,23
97682,20
97729,
97763,21
97768,21
97783,
97821,25
97845,
97850,16
97896,22
97998,18
98049,19
98078,
98157,21
98162,
98194,20
98198,
98206,16
98226,23
98256,27
98269,
98310,24
98313,26
98317,18
98320,18
98331,19
98332,19
98334,20
98355,
98360,23
98362,19
98380,19
98386,
98401,21
98404,20
98405,23
98407,18
98408,22
98410,21
98416,18
98418,
98469,19
98509,21
98510,27
98511,
98512,
98513,19
98514,20
98516,19
98517,18
98583,
98653,
98709,
98721,18
98738,
98755,21
98782,17
98790,19
98791,
98793,21
98801,
98820,16
98896,18
98901,18
98905,27
98907,19
98911,20
98913,18
98915,
98920,20
98921,29
98979,16
98993,19
98995,23
98996,21
98997,
98998,25
98999,20
99001,23
99002,24
99003,20
99009,2
99019,22
99074,
99075,21
99076,28
99077,
99080,
99081,20
99085,17
99086,22
99087,18
99090,21
99091,
99092,20
99146,29
99201,
99353,27
99461,17
99492,20
99497,21
99507,20
99589,23
99621,28
99643,24
99665,19
99707,27
99843,18
99982,19
100089,20
100101,
100191,
100239,20
100246,19
100368,19
100568,18
100571,
100573,21
100644,27
100799,22
100802,22
100805,20
100807,23
100879,19
100912,19
100914,
100925,20
100926,22
101249,20
101400,27
101405,20
101407,
101465,19
101487,
101541,22
101550,
101587,24
101625,17
101730,22
101739,
101740,17
101800,
101804,23
101805,
101806,24
101810,23
101874,17
101918,21
101919,23
101936,
101958,24
101983,21
102036,
102037,23
102093,23
102101,21
102103,22
102144,22
102174,19
102192,20
102209,
102216,21
102217,24
102219,24
102224,
102232,24
102234,21
102238,
102242,25
102267,23
102273,22
102366,24
102371,24
102378,22
102401,25
102457,25
102469,23
102541,
102739,20
102759,25
102772,
102793,18
102855,18
102857,20
102928,23
102983,24
103016,25
103054,21
103104,17
103240,
103252,
103288,26
103327,
103372,25
103451,22
103498,20
103519,23
103521,
103563,20
103601,19
103604,23
103707,22
103829,
103938,28
103965,
103967,
104033,18
104076,20
104089,20
104123,21
104175,
104201,22
104213,21
104283,
104375,21
104404,24
104405,24
104485,27
104487,24
104680,22
104700,
104751,22
104864,
104907,27
104918,25
104953,25
104980,21
104989,25
104992,31
105002,24
105008,24
105010,22
105012,23
105035,
105052,
105067,
105071,23
105106,
105110,26
105129,20
105167,23
105179,26
105206,
105219,20
105261,23
105269,25
105281,18
105284,18
105306,20
105424,20
105506,22
105553,23
105561,23
105566,21
105646,23
105738,25
105746,
105763,
105777,22
105884,21
105887,23
105888,21
105893,
105898,24
105900,22
105911,23
105914,
105980,
105987,
105996,24
106037,29
106084,25
106085,20
106091,20
106094,19
106115,
106125,24
106155,24
106196,24
106228,
106231,25
106236,24
106237,24
106314,
106386,25
106395,
106511,
106512,
106522,22
106531,
106579,22
106602,17
106715,20
106858,19
107063,21
107107,23
107153,
107185,26
107213,18
107246,24
107247,27
107337,20
107463,18
107542,18
107550,27
107644,28
107676,27
107730,24
107794,21
107938,
107944,23
107956,
108134,24
108170,25
108171,
108207,
108265,22
108353,23
108356,
108397,20
108434,25
108492,19
108518,20
108522,19
108526,
108530,20
108532,19
108533,
108549,
108589,21
108750,
108791,23
108928,
108944,26
109082,20
109094,24
109138,19
109148,21
109152,21
109235,30
109433,17
109674,27
109698,
109731,22
109741,21
109756,30
109813,18
109899,
110034,21
110216,21
110220,
110287,19
110326,22
110379,18
110423,
110455,21
110463,21
110470,21
110471,
110529,20
110574,23
110588,22
110589,19
110592,
110594,21
110595,25
110596,20
110597,21
110613,25
110623,
110629,32
110652,
110682,21
110693,20
110696,24
110698,20
110760,21
110761,
110762,22
110764,
110766,23
110767,25
110769,22
110771,29
110794,24
110919,
110937,25
111020,
111040,
111055,29
111204,28
111247,23
111459,19
111463,20
111525,
111526,24
111537,20
111544,
111617,22
111654,25
111733,22
111899,26
112047,
112049,20
112078,23
112173,
112228,
112235,20
112270,18
112317,21
112415,
112420,24
112584,21
112600,28
112603,20
112660,
112792,16
112805,27
112825,13
112921,
113040,21
113054,20
113087,
113168,22
113173,26
113191,25
113468,
113564,22
113604,
113623,22
113710,
113733,
113782,
113813,29
113963,24
113990,19
114110,27
114134,21
114140,21
114142,20
114160,19
114179,22
114180,20
114181,21
114282,21
114283,24
114314,
114378,
114399,18
114439,24
114445,24
114516,22
114522,19
114546,25
114560,
114567,20
114580,19
114656,
114657,
114757,
114798,23
114863,23
114957,22
115042,
115073,21
115091,24
115216,34
115325,
115329,20
115355,21
115435,20
115455,
115507,24
115543,23
115717,
115754,
115915,
116128,24
116134,24
116171,20
116175,
116229,20
116230,
116250,18
116253,26
116254,19
116308,22
116362,25
116364,20
116385,22
116399,21
116417,24
116424,19
116452,24
116459,28
116472,23
116473,24
116480,24
116501,21
116519,24
116525,24
116526,24
116544,24
116566,22
116580,20
116581,22
116605,26
116622,25
116624,22
116627,20
116630,21
116651,
116686,26
116699,
116708,
116721,26
116725,
116743,24
116748,
116757,
116782,24
116798,25
116832,24
116864,20
116898,24
116936,26
116942,19
117000,26
117001,29
117031,
117036,21
117082,23
117164,22
117168,
117213,23
117250,21
117255,
117308,
117341,
117350,17
117439,
117467,
117603,23
117652,28
117694,18
117701,23
117728,28
117734,23
117837,
117881,23
117896,28
117902,
117906,20
117907,27
117913,26
117917,26
118026,
118028,21
118038,21
118040,22
118042,21
118075,18
118087,19
118095,21
118101,23
118107,
118142,25
118156,23
118179,20
118239,23
118241,22
118242,22
118302,
118310,24
118323,23
118332,
118333,20
118334,21
118337,
118338,21
118377,19
118379,22
118380,24
118385,20
118391,20
118425,29
118437,25
118442,66
118443,21
118457,31
118464,23
118514,20
118529,23
118532,21
118535,23
118538,24
118539,27
118541,21
118544,
118548,25
118559,21
118604,
118607,20
118611,
118624,20
118627,33
118741,24
118747,16
118780,24
118911,20
118941,22
118946,18
118949,21
118958,24
119003,22
119081,16
119155,28
119215,26
119243,21
119247,30
119263,112
119287,20
119351,
119399,24
119409,
119448,29
119483,21
119574,26
119579,23
119596,
119640,24
119696,20
119837,22
119883,
119946,26
119963,
120002,23
120003,23
120007,
120054,25
120062,25
120063,27
120071,23
120117,25
120118,25
120119,22
120121,22
120126,26
120276,
120283,
120427,
120431,25
120493,20
120598,23
120698,24
121371,
121590,21
121637,24
121657,17
121679,
121693,21
121723,21
121738,
121744,25
121858,
121871,22
121877,
121881,
121895,25
121920,23
121971,21
122019,20
122060,21
122065,20
122081,22
122091,24
122107,24
122159,19
122172,21
122180,
122241,20
122286,61
122298,
122353,22
122388,25
122430,
122445,17
122470,19
122472,23
122550,
122609,
122612,20
122613,24
122736,22
123049,
123050,23
123051,23
123052,
123056,23
123107,22
123110,22
123116,
123119,23
123124,
123153,26
123208,21
123213,23
123216,22
123218,21
123223,21
123225,28
123227,22
123241,
123322,
123381,34
123391,21
123394,23
123399,
123400,23
123401,24
123406,23
123457,22
123462,22
123465,
123470,20
123471,22
123474,21
123481,21
123507,
123508,23
123509,21
123513,
123515,23
123516,23
123518,
123656,25
123911,18
123980,20
123988,24
123992,23
123995,20
123999,
124068,24
124116,22
124117,24
124157,23
124217,
124219,26
124256,24
124278,23
124363,26
124485,20
124586,19
124597,33
124640,20
124643,22
124714,21
124722,19
124736,22
124766,22
124768,25
124962,19
124995,23
125048,21
125089,25
125094,28
125177,
125217,21
125236,18
125271,37
125361,18
125395,
125410,23
125443,
125495,
125499,
125579,
125634,20
125772,
125864,26
125945,
126058,26
126199,19
126221,19
126232,17
126275,29
126445,24
126448,24
126490,17
126545,22
126556,23
126588,31
126720,22
126771,26
126777,26
126795,27
126977,
127002,
127003,20
127005,21
127009,21
127063,26
127065,
127083,24
127086,24
127138,23
127148,24
127164,17
127262,
127313,22
127486,23
127713,22
127715,21
127722,18
127723,24
127814,25
127822,22
127852,
127948,
127984,
128003,20
128047,
128091,22
128161,
128551,23
128605,21
128649,21
128742,20
128746,
128969,19
129083,23
129104,26
129193,26
129194,26
129211,27
129265,
129284,24
129290,21
129297,
129335,
129359,
129404,23
129525,22
129530,25
129539,
129542,17
129555,17
129564,30
129589,18
129629,20
129637,18
129650,31
129758,18
129858,21
129862,21
129863,20
129868,
129941,24
130033,
130034,25
130119,26
130188,26
130242,22
130379,21
130396,
130398,28
130404,
130412,24
130559,24
130622,20
130628,22
130629,22
130631,22
130632,23
130642,
130643,23
130648,23
130651,21
130660,
130707,22
130888,
130920,18
131086,22
131111,21
131119,16
131171,
131263,17
131381,13
131389,
131464,22
131635,25
131657,24
131760,
131809,23
131944,18
131952,21
132095,25
132131,
132136,
132138,23
132140,
132252,19
132263,
132350,
132436,23
132445,25
132482,22
132493,
132502,23
132503,20
132633,20
132697,22
132752,19
132883,21
132927,26
133031,19
133065,23
133126,
133176,21
133180,20
133260,18
133439,
133506,22
133544,26
133670,24
133762,20
133789,17
133887,
133927,
134085,
134178,30
134193,
134200,
134237,23
134344,17
134351,24
134499,23
134733,24
134823,20
134851,
135136,18
135172,17
135191,23
135240,22
135263,17
135297,15
135467,
135496,26
135530,
135545,27
135679,19
135680,
135760,25
135773,
135829,27
135937,19
135977,
136028,21
136033,20
136098,
136251,
136332,
136356,28
136392,14
136524,25
136559,20
136598,26
136615,
136622,22
136812,20
136839,23
136963,22
137048,22
137075,
137126,26
137188,25
137267,28
137283,26
137423,21
137425,22
137446,
137511,
137632,
137693,22
137813,
137935,21
137974,21
138036,20
138038,27
138064,18
138164,
138175,26
138197,24
138199,21
138234,16
138251,24
138261,20
138338,19
138367,25
138419,22
138449,26
138581,23
138585,
138615,22
138705,
138707,27
138753,26
138759,
138769,
138771,25
138777,29
138799,
138808,21
138860,20
138870,
139066,
139169,
139188,18
139224,19
139232,18
139309,23
139359,22
139428,26
139438,26
139441,21
139459,24
139535,22
139559,
139561,22
139564,26
139611,
139654,21
139662,27
139867,24
139884,22
139902,24
140291,19
140313,20
140436,25
140629,23
140661,21
140769,37
140972,21
140979,22
141154,22
141210,23
141268,21
141281,23
141314,
141365,24
141511,16
141518,
141520,24
141548,
141621,26
141780,21
141787,23
142038,29
142159,21
142163,33
142374,25
142480,
142564,22
142594,17
142596,
142621,
142808,22
143017,21
143046,18
143129,25
143170,28
143347,
143408,15
143425,
143546,18
143547,19
143609,19
144145,
144243,23
144265,
144369,25
144398,19
144443,22
144598,32
144682,25
144782,
144783,24
144977,21
145018,
145025,22
145067,19
145086,
145095,15
145168,16
145194,21
145208,
145261,22
145285,24
145312,25
145362,21
145672,
145693,
145730,
145818,17
145828,
145882,21
145914,22
145938,
146023,17
146179,
146183,19
146238,20
146322,24
146348,22
146377,
146406,21
146409,22
146410,19
146413,
146417,22
146422,
146438,24
146442,
146455,20
